Date,Change
"Jul 20, 2016",0.0046
"Jul 21, 2016",-0.0074
"Jul 22, 2016",0.0033
"Jul 25, 2016",0.0105
"Jul 26, 2016",-0.0042
"Jul 27, 2016",0.0017
"Jul 28, 2016",0.0066
"Jul 29, 2016",-0.0056
"Aug 01, 2016",-0.0017
"Aug 02, 2016",-0.0008
"Aug 03, 2016",-0.0102
"Aug 04, 2016",0.0006
"Aug 05, 2016",0.0131
"Aug 08, 2016",0.0037
"Aug 09, 2016",-0.0035
"Aug 10, 2016",-0.011
"Aug 11, 2016",0.0031
"Aug 12, 2016",0.0105
"Aug 16, 2016",-0.0031
"Aug 17, 2016",-0.0021
"Aug 18, 2016",0.0042
"Aug 19, 2016",-0.0017
"Aug 22, 2016",-0.0033
"Aug 23, 2016",0.0002
"Aug 24, 2016",0.0025
"Aug 25, 2016",-0.008
"Aug 26, 2016",-0.0019
"Aug 29, 2016",0.0043
"Aug 30, 2016",0.0158
"Aug 31, 2016",0.0039
"Sep 01, 2016",-0.001
"Sep 02, 2016",0.0038
"Sep 06, 2016",0.0156
"Sep 07, 2016",-0.0018
"Sep 08, 2016",0.0041
"Sep 09, 2016",-0.0085
"Sep 12, 2016",-0.0154
"Sep 14, 2016",0.0007
"Sep 15, 2016",0.0014
"Sep 16, 2016",0.0066
"Sep 19, 2016",0.0012
"Sep 20, 2016",-0.0039
"Sep 21, 2016",-0.0006
"Sep 22, 2016",0.0093
"Sep 23, 2016",-0.0036
"Sep 26, 2016",-0.013
"Sep 27, 2016",-0.0025
"Sep 28, 2016",0.0024
"Sep 29, 2016",-0.0164
"Sep 30, 2016",0.0014
"Oct 03, 2016",0.0135
"Oct 04, 2016",0.0032
"Oct 05, 2016",-0.004
"Oct 06, 2016",-0.0041
"Oct 07, 2016",-0.0016
"Oct 10, 2016",0.0008
"Oct 13, 2016",-0.0156
"Oct 14, 2016",0.0011
"Oct 17, 2016",-0.0052
"Oct 18, 2016",0.0189
"Oct 19, 2016",-0.0024
"Oct 20, 2016",0.0052
"Oct 21, 2016",-0.0019
"Oct 24, 2016",0.0036
"Oct 25, 2016",-0.0031
"Oct 26, 2016",-0.0091
"Oct 27, 2016",0.0029
"Oct 28, 2016",0.0009
"Oct 30, 2016",-0.0004
"Nov 01, 2016",-0.0019
"Nov 02, 2016",-0.0125
"Nov 03, 2016",-0.0035
"Nov 04, 2016",-0.0057
"Nov 07, 2016",0.0068
"Nov 08, 2016",0.0048
